mineral,year,ytd_flag,non_china_supplier_count,non_china_value_usd,hhi_value_0_1,hhi_value_0_10000,hts_codes,denominator_scope,data_status
aluminum,2010,true,4,53225451.0,0.9607871848,9607.8718,2606,non_china_members_of_selected_18_partners,reported
aluminum,2011,true,4,18591277.0,0.9923388102,9923.3881,2606,non_china_members_of_selected_18_partners,reported
aluminum,2012,true,6,41743161.0,0.8860581484,8860.5815,2606,non_china_members_of_selected_18_partners,reported
aluminum,2013,true,4,43020436.0,0.9336212075,9336.2121,2606,non_china_members_of_selected_18_partners,reported
aluminum,2014,true,4,44195176.0,0.8677244247,8677.2442,2606,non_china_members_of_selected_18_partners,reported
aluminum,2015,true,4,50492228.0,0.9102081601,9102.0816,2606,non_china_members_of_selected_18_partners,reported
aluminum,2016,true,3,26685362.0,0.7663986735,7663.9867,2606,non_china_members_of_selected_18_partners,reported
aluminum,2017,true,3,15251308.0,0.6329250038,6329.25,2606,non_china_members_of_selected_18_partners,reported
aluminum,2018,true,4,19748205.0,0.7250453423,7250.4534,2606,non_china_members_of_selected_18_partners,reported
aluminum,2019,true,3,21258512.0,0.6669828115,6669.8281,2606,non_china_members_of_selected_18_partners,reported
aluminum,2020,true,2,2646564.0,0.9972515396,9972.5154,2606,non_china_members_of_selected_18_partners,reported
aluminum,2021,true,2,1695901.0,0.7598670959,7598.671,2606,non_china_members_of_selected_18_partners,reported
aluminum,2022,true,2,2642933.0,0.5324240928,5324.2409,2606,non_china_members_of_selected_18_partners,reported
aluminum,2023,true,4,7960016.0,0.5201306352,5201.3064,2606,non_china_members_of_selected_18_partners,reported
aluminum,2024,true,3,6510632.0,0.7224392842,7224.3928,2606,non_china_members_of_selected_18_partners,reported
aluminum,2025,true,3,6913365.0,0.5306002743,5306.0027,2606,non_china_members_of_selected_18_partners,reported
aluminum,2026,true,2,3794238.0,0.5129770406,5129.7704,2606,non_china_members_of_selected_18_partners,reported
antimony,1993,false,6,3152548.0,0.4191290111,4191.2901,8110,non_china_members_of_selected_18_partners,reported
antimony,1994,false,6,5801667.0,0.5789909751,5789.9098,8110,non_china_members_of_selected_18_partners,reported
antimony,1995,false,6,3785646.0,0.4277355762,4277.3558,8110,non_china_members_of_selected_18_partners,reported
antimony,1996,false,6,6515538.0,0.5560763375,5560.7634,8110,non_china_members_of_selected_18_partners,reported
antimony,1997,false,6,2719543.0,0.3262282555,3262.2826,8110,non_china_members_of_selected_18_partners,reported
antimony,1998,false,4,1135140.0,0.3236632268,3236.6323,8110,non_china_members_of_selected_18_partners,reported
antimony,1999,false,4,1220567.0,0.2845187795,2845.1878,8110,non_china_members_of_selected_18_partners,reported
antimony,2000,false,5,1128426.0,0.302769257,3027.6926,8110,non_china_members_of_selected_18_partners,reported
antimony,2001,false,7,3346384.0,0.5365770195,5365.7702,8110,non_china_members_of_selected_18_partners,reported
antimony,2002,false,6,785851.0,0.3193451983,3193.452,8110,non_china_members_of_selected_18_partners,reported
antimony,2003,false,7,1080720.0,0.3132311472,3132.3115,8110,non_china_members_of_selected_18_partners,reported
antimony,2004,false,8,2131326.0,0.295106485,2951.0649,8110,non_china_members_of_selected_18_partners,reported
antimony,2005,false,7,2461591.0,0.3029568574,3029.5686,8110,non_china_members_of_selected_18_partners,reported
antimony,2006,false,6,1601177.0,0.4757937689,4757.9377,8110,non_china_members_of_selected_18_partners,reported
antimony,2007,false,6,2382602.0,0.3807458461,3807.4585,8110,non_china_members_of_selected_18_partners,reported
antimony,2008,false,6,3007636.0,0.5645211339,5645.2113,8110,non_china_members_of_selected_18_partners,reported
antimony,2009,false,6,1345498.0,0.3013041664,3013.0417,8110,non_china_members_of_selected_18_partners,reported
antimony,2010,false,8,2457658.0,0.2394001435,2394.0014,8110,non_china_members_of_selected_18_partners,reported
antimony,2011,false,5,9536668.0,0.7334091966,7334.092,8110,non_china_members_of_selected_18_partners,reported
antimony,2012,false,6,11380496.0,0.5718591501,5718.5915,8110,non_china_members_of_selected_18_partners,reported
antimony,2013,false,7,15662630.0,0.4576591761,4576.5918,8110,non_china_members_of_selected_18_partners,reported
antimony,2014,false,8,10113766.0,0.5098588869,5098.5889,8110,non_china_members_of_selected_18_partners,reported
antimony,2015,false,8,13664028.0,0.6417221372,6417.2214,8110,non_china_members_of_selected_18_partners,reported
antimony,2016,false,8,11670139.0,0.3124135227,3124.1352,8110,non_china_members_of_selected_18_partners,reported
antimony,2017,false,7,19197310.0,0.3800140425,3800.1404,8110,non_china_members_of_selected_18_partners,reported
antimony,2018,false,10,22407537.0,0.4330462103,4330.4621,8110,non_china_members_of_selected_18_partners,reported
antimony,2019,false,9,24238379.0,0.3161817719,3161.8177,8110,non_china_members_of_selected_18_partners,reported
antimony,2020,false,11,22451310.0,0.3339887746,3339.8877,8110,non_china_members_of_selected_18_partners,reported
antimony,2021,false,8,31969297.0,0.4112009495,4112.0095,8110,non_china_members_of_selected_18_partners,reported
antimony,2022,false,8,27462318.0,0.4408282254,4408.2823,8110,non_china_members_of_selected_18_partners,reported
antimony,2023,false,8,30503616.0,0.3869923702,3869.9237,8110,non_china_members_of_selected_18_partners,reported
antimony,2024,false,9,32295364.0,0.3868890982,3868.891,8110,non_china_members_of_selected_18_partners,reported
antimony,2025,false,12,63561992.0,0.4398737059,4398.7371,8110,non_china_members_of_selected_18_partners,reported
antimony,2026,false,0,,,,,non_china_members_of_selected_18_partners,missing_or_zero_denominator
antimony,1993,true,6,1437248.0,0.3203306653,3203.3067,8110,non_china_members_of_selected_18_partners,reported
antimony,1994,true,6,1039561.0,0.5049443325,5049.4433,8110,non_china_members_of_selected_18_partners,reported
antimony,1995,true,4,1759089.0,0.5165882327,5165.8823,8110,non_china_members_of_selected_18_partners,reported
antimony,1996,true,4,3806276.0,0.717035299,7170.353,8110,non_china_members_of_selected_18_partners,reported
antimony,1997,true,5,1076470.0,0.3991554758,3991.5548,8110,non_china_members_of_selected_18_partners,reported
antimony,1998,true,4,616641.0,0.3426853062,3426.8531,8110,non_china_members_of_selected_18_partners,reported
antimony,1999,true,4,309020.0,0.2933744654,2933.7447,8110,non_china_members_of_selected_18_partners,reported
antimony,2000,true,5,491472.0,0.2928295224,2928.2952,8110,non_china_members_of_selected_18_partners,reported
antimony,2001,true,6,1437445.0,0.5968883957,5968.884,8110,non_china_members_of_selected_18_partners,reported
antimony,2002,true,4,276889.0,0.2991947847,2991.9478,8110,non_china_members_of_selected_18_partners,reported
antimony,2003,true,7,674090.0,0.2419537455,2419.5375,8110,non_china_members_of_selected_18_partners,reported
antimony,2004,true,6,1341039.0,0.3610802102,3610.8021,8110,non_china_members_of_selected_18_partners,reported
antimony,2005,true,7,1253606.0,0.31443126,3144.3126,8110,non_china_members_of_selected_18_partners,reported
antimony,2006,true,5,879641.0,0.3760724279,3760.7243,8110,non_china_members_of_selected_18_partners,reported
antimony,2007,true,5,1188368.0,0.4496192725,4496.1927,8110,non_china_members_of_selected_18_partners,reported
antimony,2008,true,4,438749.0,0.5400245036,5400.245,8110,non_china_members_of_selected_18_partners,reported
antimony,2009,true,6,652276.0,0.3254562628,3254.5626,8110,non_china_members_of_selected_18_partners,reported
antimony,2010,true,7,769998.0,0.3310046049,3310.046,8110,non_china_members_of_selected_18_partners,reported
antimony,2011,true,5,3686063.0,0.7499931557,7499.9316,8110,non_china_members_of_selected_18_partners,reported
antimony,2012,true,5,5323394.0,0.7952621978,7952.622,8110,non_china_members_of_selected_18_partners,reported
antimony,2013,true,6,6857989.0,0.5019771661,5019.7717,8110,non_china_members_of_selected_18_partners,reported
antimony,2014,true,7,3369756.0,0.3686504788,3686.5048,8110,non_china_members_of_selected_18_partners,reported
antimony,2015,true,5,6002630.0,0.7312813291,7312.8133,8110,non_china_members_of_selected_18_partners,reported
antimony,2016,true,7,6459244.0,0.2668287418,2668.2874,8110,non_china_members_of_selected_18_partners,reported
antimony,2017,true,7,8573244.0,0.3690517709,3690.5177,8110,non_china_members_of_selected_18_partners,reported
antimony,2018,true,7,7110751.0,0.53511443,5351.1443,8110,non_china_members_of_selected_18_partners,reported
antimony,2019,true,7,12693491.0,0.3298035362,3298.0354,8110,non_china_members_of_selected_18_partners,reported
antimony,2020,true,9,9814551.0,0.3089899627,3089.8996,8110,non_china_members_of_selected_18_partners,reported
antimony,2021,true,7,12110890.0,0.3397341026,3397.341,8110,non_china_members_of_selected_18_partners,reported
antimony,2022,true,7,9698835.0,0.4526393973,4526.394,8110,non_china_members_of_selected_18_partners,reported
antimony,2023,true,6,16409525.0,0.3490091519,3490.0915,8110,non_china_members_of_selected_18_partners,reported
antimony,2024,true,9,6987397.0,0.3744514047,3744.514,8110,non_china_members_of_selected_18_partners,reported
antimony,2025,true,10,26256889.0,0.4378965748,4378.9657,8110,non_china_members_of_selected_18_partners,reported
antimony,2026,true,7,12673561.0,0.328608421,3286.0842,8110,non_china_members_of_selected_18_partners,reported
bismuth,1993,false,2,244486.0,0.6737394599,6737.3946,8106,non_china_members_of_selected_18_partners,reported
bismuth,1994,false,4,931107.0,0.6518309097,6518.3091,8106,non_china_members_of_selected_18_partners,reported
bismuth,1995,false,7,1189142.0,0.2321974517,2321.9745,8106,non_china_members_of_selected_18_partners,reported
bismuth,1996,false,4,997265.0,0.4939720587,4939.7206,8106,non_china_members_of_selected_18_partners,reported
bismuth,1997,false,5,874889.0,0.8157512859,8157.5129,8106,non_china_members_of_selected_18_partners,reported
bismuth,1998,false,4,1620732.0,0.599665582,5996.6558,8106,non_china_members_of_selected_18_partners,reported
bismuth,1999,false,3,1055486.0,0.6417842163,6417.8422,8106,non_china_members_of_selected_18_partners,reported
bismuth,2000,false,4,1655629.0,0.3772206276,3772.2063,8106,non_china_members_of_selected_18_partners,reported
bismuth,2001,false,4,1044971.0,0.3247596235,3247.5962,8106,non_china_members_of_selected_18_partners,reported
bismuth,2002,false,4,855858.0,0.3429903135,3429.9031,8106,non_china_members_of_selected_18_partners,reported
bismuth,2003,false,3,958329.0,0.5083090955,5083.091,8106,non_china_members_of_selected_18_partners,reported
bismuth,2004,false,4,2206657.0,0.3319057138,3319.0571,8106,non_china_members_of_selected_18_partners,reported
bismuth,2005,false,2,270431.0,0.6096077076,6096.0771,8106,non_china_members_of_selected_18_partners,reported
bismuth,2006,false,4,876838.0,0.7412559201,7412.5592,8106,non_china_members_of_selected_18_partners,reported
bismuth,2007,false,4,2190446.0,0.3755512989,3755.513,8106,non_china_members_of_selected_18_partners,reported
bismuth,2008,false,5,2802466.0,0.5445304406,5445.3044,8106,non_china_members_of_selected_18_partners,reported
bismuth,2009,false,4,1590617.0,0.5702669284,5702.6693,8106,non_china_members_of_selected_18_partners,reported
bismuth,2010,false,6,665812.0,0.3625935668,3625.9357,8106,non_china_members_of_selected_18_partners,reported
bismuth,2011,false,4,963530.0,0.5129853543,5129.8535,8106,non_china_members_of_selected_18_partners,reported
bismuth,2012,false,3,1201768.0,0.588062115,5880.6212,8106,non_china_members_of_selected_18_partners,reported
bismuth,2013,false,4,2183027.0,0.2652271794,2652.2718,8106,non_china_members_of_selected_18_partners,reported
bismuth,2014,false,6,2876871.0,0.2390071953,2390.072,8106,non_china_members_of_selected_18_partners,reported
bismuth,2015,false,5,725797.0,0.2694967052,2694.9671,8106,non_china_members_of_selected_18_partners,reported
bismuth,2016,false,4,627257.0,0.2870010331,2870.0103,8106,non_china_members_of_selected_18_partners,reported
bismuth,2017,false,6,2349762.0,0.3689932989,3689.933,8106,non_china_members_of_selected_18_partners,reported
